id,Silent_KB_Ratio,N_Missense,N_LOF,N_Splice,Missense_KB_Ratio,LOF_KB_Ratio,Missense_Entropy,LOF_TO_Silent_Ratio,Splice_TO_Silent_Ratio,Missense_TO_Silent_Ratio,Missense_Damaging_TO_Missense_Benign_Ratio,LOF_TO_Benign_Ratio,Splice_TO_Benign_Ratio,Missense_TO_Benign_Ratio,Missense_Damaging_TO_Benign_Ratio,Polyphen2,LOF_TO_Total_Ratio,Missense_TO_Total_Ratio,Splice_TO_Total_Ratio,LOF_TO_Missense_Ratio,Silent_fraction,Nonsense_fraction,Missense_fraction,Recurrent_missense_fraction,Frameshift_indel_fraction,Inframe_indel_fraction,Lost_start_and_stop_fraction,Inactivating_mutations_fraction,NonSilent_TO_Silent_Ratio,log_gene_length,CDS_length,CNA_deletion,CNA_amplification,Exon_Cons,MGAentropy,S50_score_replication_timing,One_Minus_S50_score_replication_timing,VEST_score,Gene_expression_Z_score,Gene_expression_Minus_Z_score,Cell_proliferation_rate_CRISPR_KD,Minus_Cell_proliferation_rate_CRISPR_KD,Super_Enhancer_percentage,BioGRID_betweenness,BioGRID_clossness,BioGRID_log_degree,Promoter_hypermethylation_in_cancer,Promoter_hypomethylation_in_cancer,Gene_body_hypermethylation_in_cancer,Gene_body_hypomethylation_in_cancer,Canyon_genebody_hypermethylation,intolerant_pLI,intolerant_pRec,intolerant_pNull,Synonymous_Zscore,Missense_Zscore,pLOF_Zscore,dN_to_dS_ratio,GDI,RVIS_percentile,ncRVIS,ncGERP,Gene_age,FamilyMemberCount,Length_H3K4me3,Broad_H3K4me3_percentage,H3K4me3_height,H3K4me2_width,Broad_H3K4me2_percentage,H3K4me2_height,H3K4me1_width,Broad_H3K4me1_percentage,H3K4me1_height,H3K36me3_width,Broad_H3K36me3_percentage,H3K36me3_height,H3K27ac_width,Broad_H3K27ac_percentage,H3K27ac_height,H3K27me3_width,Broad_H3K27me3_percentage,H3K27me3_height,H3K9me3_width,Broad_H3K9me3_percentage,H3K9me3_height,H3K9ac_width,Broad_H3K9ac_percentage,H3K9ac_height,H3K9me2_width,Broad_H3K9me2_percentage,H3K9me2_height,H3K79me2_width,Broad_H3K79me2_percentage,H3K79me2_height,H4K20me1_width,Broad_H4K20me1_percentage,H4K20me1_height,class
11,21.97802198,7.11,3.58,0,101.0989011,8.791208791,0.089111,0.387195122,0.03353658537,4.43597561,1.882488479,0.1664482307,0.01441677588,1.906946265,1.070773263,0.9915,0.06600831601,0.7562370062,0.005717255717,0.08728522337,0.166,0.061,0.762,0,0.006,0,0,0.072,5.03,13.486,10.415,0.635,0.365,0.6892906975,1.041638252,0.75222319,0.24777681,0.1674,0.759,-0.759,-0.08,0.08,0.384,2.25E-05,0.3519704953,5.459,-0.363,0.363,-0.3295,0.3295,0,1.32E-07,0.98895,0.01105,1.1497,1.3785,2.3398,0.1685,674.69759,19.54470394,-0.3576620868,0.257594146,0,3,601.2,0,5.16712,1416.25,0,3.54478,1523,0.001195,6.75491,0,0,0,268.5,0,3.19965,1137.8312,0,5.53573,404.5,0,4.28543,293,0,4.00949,762,0,2.50346,0,0,0,130,0,3.07344,0
12,80.2919708,7.9,4.09,0,581.5085158,41.36253041,0.650452,0.4944134078,0.002793296089,6.88547486,1.68466899,0.1897106109,0.001071811361,2.642015005,1.036441586,0.665,0.05872594559,0.8178500332,0.0003317850033,0.07180527383,0.114,0.031,0.824,0,0.028,0.003,0,0.059,7.79,8.679,8.683,0.485,0.515,0.5909600618,0.4779499127,1,0,0.7309333333,0.132,-0.132,-0.17,0.17,0.172,1.86E-06,0.3361850316,4.524,0,0,0.7875,-0.7875,0,1.48E-05,0.1354,0.86459,-10.296,1.5893,-1.1607,0,3.42202,39.67916962,0.2516962435,-2.107699479,0,15,0,0,0,0,0,0,322.8182,0,4.90269,100,0,3.021,170,0,2.41197,321.8,0,3.49688,226.4,0,4.08034,224,0,4.1043,0,0,0,151,0,3.5172,301.4,0,4.39756,1
13,56.26326964,6.87,3.17,0,124.2038217,9.554140127,0.150637,0.1738351254,0.001792114695,2.231182796,1.248031496,0.1193111931,0.0012300123,1.531365314,0.3899138991,0.618,0.05094537815,0.6538865546,0.000525210084,0.07791164659,0.296,0.017,0.654,0,0.034,0,0,0.05,2.38,9.878,9.88,0.697,0.303,0,1.426422735,1,0,0.04444444444,0.054,-0.054,0.1,-0.1,0,0,0,0,-0.353,0.353,0,0,0,0.093349,0.58785,0.3188,-0.17805,-0.40628,0.036369,0.1677,1301.75288,76.30927105,0.0768082847,-0.836316405,2,249,174.8,0,4.70532,0,0,0,151.5,0,3.66904,241.4,0,3.27383,0,0,0,249.3,0,6.39441,241.0556,0,6.11223,0,0,0,415,0,3.56285,0,0,0,0,0,0,0
14,13.33333333,6.11,2,0,61.33333333,3.555555556,0.224687,0.2640449438,0.005617977528,4.297752809,0.7803738318,0.1195928753,0.002544529262,1.946564885,0.4249363868,0.129,0.04728370221,0.7696177062,0.001006036217,0.0614379085,0.17,0.034,0.784,0,0.011,0,0,0.045,4.87,14.839,10.136,0.149,0.851,0,0,0.30629032,0.69370968,0.07511111111,0.095,-0.095,0,0,0.01,6.52E-07,0.3197281516,4.322,0.815,-0.815,-0.4145,0.4145,0,1.84E-05,0.70623,0.29375,0.64416,-0.15497,1.0292,0.1443,140.20755,49.9849,-0.108605574,-0.017506499,0,0,1003.8464,0.01122,282,1737.4205,0.060773,44.20354,1425.2694,0.056153,18.07246,270.625,0.001151,6.62945,1709.2632,0.02574,24.2443,2438.533,0.145029,40.466,373.9574,0,7.51112,922.9587,0.022951,29.83983,207.125,0,3.31039,1317.3636,0.013245,4.82586,376.8667,0,4.79948,0
15,18.88162672,6.09,2.58,0,49.38271605,4.357298475,0.05446,0.2326388889,0.003472222222,2.621527778,0.9421768707,0.114922813,0.001715265866,1.295025729,0.4751286449,0.373,0.06014362657,0.6777378815,0.0008976660682,0.08874172185,0.26,0.04,0.68,0,0.02,0,0,0.06,2.85,16.394,10.427,0.749,0.251,0.6284997477,1.269653672,0.10325248,0.89674752,0.06588888889,-0.135,0.135,0,0,0,4.87E-09,0.3010816658,1,0,0,-0.366,0.366,0,4.31E-06,0.63406,0.36594,-0.043574,-0.12539,0.95427,0.512,106.29511,48.54328851,-0.3696550264,-0.190980286,5,186,1064.9221,0,257,1297.1,0,23.93076,560.6944,0,8.40589,229.5,0,3.84182,1111.1111,0,18.34213,353.2222,0,5.04478,155,0,3.70502,960.1351,0,18.95958,231,0,2.54767,515,0,4.13188,0,0,0,0
16,22.07505519,6.98,3.81,1,92.71523179,10.30169242,0.105589,0.4481707317,0.06402439024,4.070121951,1.105095541,0.2286158631,0.03265940902,2.076205288,0.5396578538,0.4235,0.07802547771,0.7085987261,0.01114649682,0.1101123596,0.169,0.068,0.712,0,0.011,0.011,0.017,0.107,4.9,14.652,10.408,0.67,0.33,0.5805262068,1.740223335,0.40696139,0.59303861,0.09288888889,-0.013,0.013,-0.13,0.13,0,0,0.2535063752,1,0.7455,-0.7455,0,0,0,1.35E-12,0.026357,0.97364,0.15525,-1.2077,-0.098122,0.7707,2286.09816,96.61476763,0.4801555565,-0.272863347,0,1,205.6667,0,4.16534,1582.6667,0,6.86649,789.2333,0.001195,5.71931,1923.5294,0.012658,5.61723,592.2,0,4.16418,881.8214,0.002339,5.5525,665.7647,0.002567,4.32519,206.6667,0,3.83479,1334.3333,0.015385,3.81786,3502,0.006623,3.80307,176,0,3.54867,0
17,23.46041056,5.46,3.17,1,64.51612903,13.19648094,0.086225,0.5159574468,0.1117021277,2.739361702,1.359375,0.3833992095,0.08300395257,2.035573123,0.3438735178,0.413,0.1177184466,0.625,0.02548543689,0.1883495146,0.225,0.042,0.62,0,0.085,0,0,0.155,3.44,14.086,9.414,0.711,0.289,0.5965719601,1.239520989,0.58556227,0.41443773,0.1627777778,0.021,-0.021,-0.15,0.15,0.121,1.16E-05,0.3145730915,4.322,-0.31,0.31,-0.351,0.351,0,0.009178,0.82318,0.16764,0.4753,-0.49522,1.0959,0.2181,304.01033,25.14744043,-0.1086055735,-0.710855961,3,2,619.3333,0.001403,10.94265,935.4545,0.01105,27.06774,1278.8925,0.014337,14.59531,4854.2436,0.153049,12.53437,1767.0278,0.010296,76.26972,182.5714,0,3.95435,2472.7778,0.003851,4.81369,678.8667,0,5.56908,0,0,0,1279.8333,0.013245,5.50646,1675.5417,0.032258,5.50568,0
18,12.96859169,7.95,5.25,2.32,50.25329281,7.700101317,0.062474,0.5793413174,0.07634730539,3.824850299,2.418316832,0.3606710158,0.04753028891,2.381174278,0.9105312209,0.956,0.1056222707,0.6973253275,0.01391921397,0.1514677104,0.18,0.042,0.699,0,0.065,0,0,0.121,4.55,16.919,12.269,0.642,0.358,0.6637046263,1.41825807,0.09326,0.90674,0.1246666667,-0.11,0.11,-0.11,0.11,0.01,8.86E-07,0.3329943773,3.459,0,0,-0.321,0.321,0,5.13E-16,0.99982,0.00017903,-0.028277,0.37111,3.4356,0.3817,722.34786,82.96768106,-0.5139243715,-0.428581173,0,0,316.7778,0,6.68218,895.9375,0.005525,5.91795,774.2871,0,8.32282,1566.9502,0.047181,8.34517,634.3469,0,10.22195,206.875,0,3.84602,481.6981,0.001284,6.58055,343.6786,0,5.01186,245.6667,0,3.25406,161.3333,0,4.27004,220.6667,0,4.43593,0
19,5.297473513,5.86,1.58,0,23.63488183,1.222493888,0.101934,0.2341772152,0.006329113924,4.14556962,1.125,0.2021857923,0.005464480874,3.579234973,0.1475409836,0,0.04332552693,0.7669789227,0.001170960187,0.05648854962,0.176,0.014,0.784,0,0.027,0,0,0.041,4.69,0,11.261,0.795,0.205,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.1443,10000,49.9849,-0.108605574,-0.017506499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,47.77070064,7.32,2.81,0,169.85138,7.430997877,0.174053,0.1610878661,0.002092050209,3.5041841,1.996478873,0.1009174312,0.00131061599,2.195281782,0.7431192661,0.85,0.03431372549,0.7464349376,0.0004456327986,0.04597014925,0.211,0.019,0.751,0,0.014,0,0.005,0.038,3.73,14.845,9.88,0.419,0.581,0,1.796881408,0.41232421,0.58767579,0.02655555556,-0.007,0.007,-0.07,0.07,0,0,0,0,0,0,0,0,0,8.68E-06,0.10049,0.8995,-2.8534,-1.7094,-1.6141,0.4108,1829.2528,97.61146497,0.3390486442,-1.414786235,11,249,632.88,0.001403,11.04847,618.8636,0,14.74168,1272.8356,0.011947,8.20616,619.0333,0.002301,9.07142,1568.375,0.006435,15.67084,463.0282,0.002339,4.40752,849.876,0.014121,25.89761,1070.8462,0.006557,11.64177,1579.4667,0.046154,5.2345,137.6667,0,3.88718,1127.7143,0.006452,3.65103,0
21,46.47887324,7.79,3,0,104.2253521,3.755868545,0.086225,0.08546168959,0.0009823182711,2.254420432,3.534188034,0.06943335994,0.000798084597,1.83160415,0.6600159617,0.995,0.02518818761,0.664447018,0.0002895193978,0.03790849673,0.296,0.021,0.665,0,0.003,0.009,0.006,0.03,2.37,15.463,11.057,0.192,0.808,0.6596405475,0.9344425183,0.18314256,0.81685744,0.08977777778,0.133,-0.133,-0.03,0.03,0.101,1.78E-05,0.350883459,5.044,0,0,-0.329,0.329,0,0.29466,0.70518,0.00015981,-0.19612,2.2343,3.2684,0.04371,386.00355,7.484076433,-0.1139139366,0.747515297,0,1,1229.4889,0.02805,151,2173.7188,0.121547,15.96008,4231.8589,0.237754,22.00597,2591.662,0.117376,16.07924,2458.68,0.09009,47.09785,1883.2302,0.032749,13.08203,1465.3043,0.007702,8.23703,2339.5426,0.12459,14.45088,0,0,0,1375.5,0.006623,6.64147,1442.9714,0.051613,6.01087,0
22,34.18803419,5.09,1.58,0,96.86609687,8.547008547,0.105645,0.25,0.006756756757,2.804054054,1.99122807,0.1406844106,0.003802281369,1.577946768,0.8631178707,0.875,0.06125827815,0.6870860927,0.001655629139,0.08915662651,0.245,0.061,0.694,0,0,0,0,0.061,3.08,10.544,8.455,0.24,0.76,0.6007382333,0.7900485356,1,0,0.3405555556,0.941,-0.941,0.09,-0.09,0.03,1.13E-07,0.2562131811,1,0.665,-0.665,-0.355,0.355,0,0.34128,0.60547,0.053258,0.87906,0.62793,1.5094,0.1134,47.16264,78.16112291,-0.0085489463,2.036134542,0,0,684.9412,0.002805,25.08926,715.4348,0,12.34715,528.2899,0,12.42077,336.3333,0,6.55107,648.25,0,8.39119,1001.3103,0,9.86147,342.5484,0,8.02523,756.1667,0,17.85726,185,0,3.15311,0,0,0,410.875,0,4.07044,0
23,27.81343603,7.71,5.13,0,89.43089431,14.97646555,0.207191,0.5265486726,0.01622418879,3.193215339,0.963362069,0.312335958,0.009623797025,1.894138233,0.3910761155,0.308,0.1110765401,0.6736154325,0.003422526447,0.1648960739,0.21,0.087,0.674,0,0.026,0,0,0.116,3.77,13.31,11.19,0.467,0.533,0.5182299105,1.69657183,0.96534069,0.03465931,0.04366666667,0.095,-0.095,0.03,-0.03,0,0,0,0,0,0,0,0,0,0.048846,0.70054,0.25061,-0.18531,0.16812,0.64198,0.5171,989.24767,67.45694739,0.4891341979,-0.971376054,2,208,1774.3636,0.02805,395,2135.679,0.038674,53.28721,1700.4162,0.039427,29.51528,1131.8605,0.004603,8.13418,1018.5047,0.011583,32.79367,601.0625,0.00117,5.92829,451.6154,0.001284,5.63656,1786.2734,0.042623,42.695,0,0,0,2546.5625,0.033113,6.89153,1517.5652,0.03871,5.38294,0
24,19.06640368,7.01,2.32,0,84.81262327,3.28731098,0.097626,0.179245283,0.003144654088,4.29245283,1.218562874,0.08728943338,0.001531393568,2.090352221,0.6232771822,0.7015,0.03249714937,0.7782212087,0.0005701254276,0.04175824176,0.177,0.024,0.787,0,0.006,0.006,0,0.03,4.66,15.416,10.571,0.654,0.346,0.6940024922,1.221218517,0.24289831,0.75710169,0.06044444444,0.116,-0.116,0,0,0,1.54E-08,0.29064931,2,0,0,-0.3455,0.3455,0,9.67E-06,0.56743,0.43256,0.51286,0.31416,0.77369,0.1649,24.21653,67.19155461,0.0074657531,0.042125891,5,207,769.8667,0.01683,32,1162.9273,0.049724,14.38051,1565.0909,0.050179,16.37174,1696.7025,0.047181,10.12052,878.6207,0.007722,11.91471,2216.557,0.046784,8.30861,3691.2839,0.22208,26.46678,402.7045,0,10.27917,179,0,3.41381,1887,0.006623,5.28496,201.1,0,4.67943,0
25,12.97016861,5.29,1.58,0,50.58365759,3.891050584,0.208234,0.2890625,0.0078125,3.6328125,3.743243243,0.1822660099,0.004926108374,2.290640394,1.36453202,0.851,0.05835962145,0.7334384858,0.001577287066,0.07956989247,0.192,0.058,0.75,0,0,0,0,0.058,4.2,11.618,9.591,0.476,0.524,0.6235222181,1.099687535,1,0,0.03,0.037,-0.037,-0.52,0.52,0.01,0.0002221809361,0.3701790939,6.209,0.529,-0.529,0.544,-0.544,0,2.00E-07,0.26576,0.73424,-4.8571,-1.3048,0.35535,0.22,1443.82845,79.88912479,-0.8771340648,-0.537283548,5,1,1005.7143,0.002805,108,1417.4545,0.005525,27.1324,1350.0306,0,29.14689,1027.7619,0,5.82919,1507.2727,0.001287,13.98991,370.35,0,10.42283,184,0,3.40512,1115.6,0,20.34818,0,0,0,724.0857,0.006623,11.59291,1085.8333,0.006452,6.37616,0
